grid_id,year,week_of_season,fire_count,fire_count_last_week,same_week_last_year,3yr_avg,neighbor_fire_count,avg_frp,avg_brightness,night_fire_pct,avg_confidence
30_13,2020,1,1,0.0,0.0,0.0,4,3.18,333.6,0.0,60.0
30_13,2020,2,2,1.0,0.0,0.0,8,6.18,342.55999999999995,0.0,60.0
30_13,2020,4,7,2.0,13.0,11.0,61,5.852857142857142,331.9157142857143,0.0,60.0
30_13,2020,5,33,7.0,20.0,14.5,135,9.77818181818182,331.3809090909091,0.0,63.36363636363637
30_13,2020,6,46,33.0,18.0,27.0,172,8.020434782608696,333.87804347826085,0.0,61.67391304347826
30_13,2020,7,6,46.0,3.0,3.5,58,6.093333333333334,330.88666666666666,0.0,59.833333333333336
30_13,2021,1,1,0.0,1.0,1.0,7,6.2,316.8,0.0,53.0
30_13,2021,2,2,1.0,2.0,2.0,16,3.475,332.915,0.0,60.0
30_13,2021,3,4,2.0,0.0,2.5,16,7.949999999999999,325.5025,0.0,65.75
30_13,2021,5,14,4.0,33.0,20.666666666666668,125,9.684285714285716,335.4778571428571,0.0,64.57142857142857
30_13,2021,6,39,14.0,46.0,33.333333333333336,344,8.006410256410257,336.8676923076923,0.0,64.0
30_13,2021,7,8,39.0,6.0,4.333333333333333,50,11.8,331.42,0.0,65.375
30_13,2022,4,3,0.0,0.0,9.666666666666666,71,10.076666666666666,328.7666666666667,0.0,58.333333333333336
30_13,2022,5,10,3.0,14.0,22.333333333333332,79,8.499,334.904,0.0,61.7
30_13,2022,6,8,10.0,39.0,34.333333333333336,44,9.3275,335.48625,0.0,64.75
30_13,2022,7,4,8.0,8.0,5.666666666666667,11,10.8475,346.6275,0.0,67.5
30_13,2023,4,1,0.0,3.0,7.666666666666667,3,2.82,333.28,0.0,60.0
30_13,2023,5,1,1.0,10.0,19.0,15,6.33,335.87,0.0,60.0
30_13,2023,6,4,1.0,8.0,31.0,22,9.0225,324.845,0.25,61.0
30_13,2023,7,2,4.0,4.0,6.0,18,7.9799999999999995,322.475,0.0,64.5
30_14,2018,1,1,0.0,0.0,0.0,5,2.66,332.75,0.0,60.0
30_14,2018,4,3,1.0,0.0,0.0,50,5.0,326.2,0.0,61.333333333333336
30_14,2018,5,7,3.0,0.0,0.0,43,5.477142857142858,336.7785714285714,0.0,60.0
30_14,2018,6,21,7.0,0.0,0.0,149,7.217619047619047,334.08238095238096,0.0,61.476190476190474
30_14,2018,7,3,21.0,0.0,0.0,42,4.043333333333334,338.5133333333333,0.0,60.0
30_14,2018,8,1,3.0,0.0,0.0,8,9.4,333.78,0.0,60.0
30_14,2019,4,6,0.0,3.0,3.0,70,5.141666666666667,335.075,0.0,60.0
30_14,2019,5,6,6.0,7.0,7.0,73,5.925,332.705,0.0,61.0
30_14,2019,6,12,6.0,21.0,21.0,100,7.700833333333333,331.4841666666667,0.0,63.916666666666664
30_14,2020,3,3,0.0,0.0,0.0,37,5.7700000000000005,343.9633333333333,0.0,60.0
30_14,2020,4,3,3.0,6.0,4.5,83,2.7833333333333337,332.93,0.0,60.0
30_14,2020,5,13,3.0,6.0,6.5,150,6.433076923076923,332.85153846153844,0.0,59.23076923076923
30_14,2020,6,14,13.0,12.0,16.5,156,6.527142857142857,336.42285714285714,0.0,61.5
30_14,2020,7,12,14.0,0.0,3.0,52,11.526666666666666,335.69916666666666,0.0,61.25
30_14,2020,8,2,12.0,0.0,1.0,3,4.065,337.77,0.0,60.0
30_14,2021,1,1,0.0,0.0,1.0,16,2.74,337.38,0.0,60.0
30_14,2021,2,1,1.0,0.0,0.0,21,2.43,342.4,0.0,60.0
30_14,2021,5,8,1.0,13.0,8.666666666666666,124,7.74125,338.18375000000003,0.0,64.75
30_14,2021,6,30,8.0,14.0,15.666666666666666,344,11.825666666666667,335.32933333333335,0.0,62.8
30_14,2021,7,3,30.0,12.0,7.5,50,3.53,325.2133333333333,0.0,58.666666666666664
30_14,2022,3,1,0.0,0.0,3.0,6,2.03,335.25,0.0,60.0
30_14,2022,4,7,1.0,0.0,4.0,58,4.774285714285715,336.01142857142855,0.0,61.285714285714285
30_14,2022,5,7,7.0,8.0,9.0,78,6.512857142857143,328.4171428571429,0.0,64.14285714285714
